,Case,Sample 1,Sample 2,Sample 3
0,00020124_003.png,3.0,4.0,2.0
1,00011827_003.png,1.0,1.0,1.0
2,00011925_072.png,4.0,4.0,3.0
3,00012094_040.png,4.0,2.25,1.0
4,00012174_000.png,4.0,5.0,2.0
5,00012270_005.png,3.0,3.0,4.75
6,00012592_005.png,3.0,2.6,2.6
7,00012829_004.png,2.5,4.5,4.5
8,00012892_010.png,3.0,2.8333333333333335,2.8333333333333335
9,00013337_000.png,2.25,2.6,2.0
10,00013673_001.png,3.0,5.0,2.0
11,00013685_000.png,3.0,2.8333333333333335,2.8333333333333335
12,00013751_003.png,3.0,4.0,2.0
13,00013911_021.png,3.0,2.0,2.0
14,00013951_001.png,3.0,5.0,5.0
15,00013977_005.png,1.0,5.0,1.0
16,00013991_000.png,3.0,5.0,5.0
17,00014015_003.png,4.0,4.0,4.0
18,00014251_029.png,4.0,3.0,3.0
19,00014280_000.png,2.0,3.0,2.0
20,00014447_004.png,3.0,2.25,2.25
21,00015792_005.png,5.0,5.0,2.0
22,00016429_015.png,4.0,4.0,2.0
23,00017028_000.png,3.0,5.0,2.0
24,00017137_016.png,2.25,3.0,1.0
25,00017214_015.png,4.0,2.8333333333333335,2.25
26,00012045_019.png,1.0,5.0,1.0
27,00012414_000.png,2.5,1.0,1.0
28,00016587_069.png,2.0,4.0,1.0
29,00016589_005.png,1.0,5.0,5.0
30,00017243_010.png,4.0,2.25,4.0
31,00018063_000.png,1.0,5.0,1.0
32,00018366_000.png,3.0,5.0,2.25
33,00019495_004.png,2.0,1.0,2.0
34,00019013_002.png,2.0,5.0,1.0
35,00019124_090.png,3.0,5.0,2.0
36,00019767_016.png,3.0,1.0,1.0
37,00020000_000.png,3.0,2.6,2.6
38,00018980_002.png,1.0,2.5,1.0
39,00016267_000.png,5.0,5.0,1.0
